CID,CNAme,Cpassword,Emailid,TypeV,TypeA
1,Gameloft,blgfeiw,Gameloft@gmail.com,V,A
2,Glu,gweerg,Glu@gmail.com,V,
3,Google,fdw343,Google@gmail.com,V,A
4,Microsoft,23fe3f3,Microsoft@gmail.com,V,
5,WB,e345r3,WB@gmail.com,V,
6,Lionsgate,r3345f43,Lionsgate@gmail.com,V,
7,SonyMusic,345fe43,SonyMusic@gmail.com,V,
8,Tseries,f3453f3,Tseries@gmail.com,V,
9,Princeton,34rfewy34,Princeton@gmail.com,V,
10,Amazon,g3t2345f,Amazon@gmail.com,V,A
11,Walmart,35eghwy3t,Walmart@gmail.com,,A
12,Facebook,gr3453w,Facebook@gmail.com,,A
13,Apple,t3twtew,Apple@gmail.com,,A
14,HTC,3543tew454,HTC@gmail.com,,A
15,Honda,t432t4w,Honda@gmail.com,,A
